column,reason,decision
savings_usage,keyword_match_financial_access,review_before_modeling
savings_formal,keyword_match_financial_access,review_before_modeling
savings_informal,keyword_match_financial_access,review_before_modeling
savings_excluded,keyword_match_financial_access,review_before_modeling
loan_usage,keyword_match_financial_access,review_before_modeling
loan_formal,keyword_match_financial_access,review_before_modeling
loan_informal,keyword_match_financial_access,review_before_modeling
loan_formal_2,keyword_match_financial_access,review_before_modeling
loan_mbanking_2,keyword_match_financial_access,review_before_modeling
loan_fuliza_2,keyword_match_financial_access,review_before_modeling
loan_app_2,keyword_match_financial_access,review_before_modeling
savings_mbanking_2,keyword_match_financial_access,review_before_modeling
savings_mmoney_2,keyword_match_financial_access,review_before_modeling
savings_formal2,keyword_match_financial_access,review_before_modeling
tot_saving,keyword_match_financial_access,review_before_modeling
mobile,keyword_match_financial_access,review_before_modeling
bank_usage,keyword_match_financial_access,review_before_modeling
bank_usage1,keyword_match_financial_access,review_before_modeling
bank_usage3,keyword_match_financial_access,review_before_modeling
bank_usage2,keyword_match_financial_access,review_before_modeling
insurance_usage,keyword_match_financial_access,review_before_modeling
insurance_usage2,keyword_match_financial_access,review_before_modeling
insurance_usage1,keyword_match_financial_access,review_before_modeling
pension_usage,keyword_match_financial_access,review_before_modeling
pension_usage_2,keyword_match_financial_access,review_before_modeling
mobile_bank_usage,keyword_match_financial_access,review_before_modeling
mobile_money_usage,keyword_match_financial_access,review_before_modeling
digital_app_loan,keyword_match_financial_access,review_before_modeling
formal_digital_sav,keyword_match_financial_access,review_before_modeling
formal_non_digital_sav,keyword_match_financial_access,review_before_modeling
formal_digital_loan,keyword_match_financial_access,review_before_modeling
formal_non_digital_loan,keyword_match_financial_access,review_before_modeling
tot_formal_digit_loan_sav,keyword_match_financial_access,review_before_modeling
tot_formal_non_digit_loan_sav,keyword_match_financial_access,review_before_modeling
sacco_usage,keyword_match_financial_access,review_before_modeling
formal_prudential,keyword_match_financial_access,review_before_modeling
formal_non_prudential,keyword_match_financial_access,review_before_modeling
formal_registered,keyword_match_financial_access,review_before_modeling
formal,keyword_match_financial_access,review_before_modeling
formal_other,keyword_match_financial_access,review_before_modeling
informal,keyword_match_financial_access,review_before_modeling
Traditional_bank_users,keyword_match_financial_access,review_before_modeling
Commercial_Bank_users,keyword_match_financial_access,review_before_modeling
Post_bank_users,keyword_match_financial_access,review_before_modeling
Digital_credit,keyword_match_financial_access,review_before_modeling
mobile_access,keyword_match_financial_access,review_before_modeling
mobile_own,keyword_match_financial_access,review_before_modeling
formal_service_use,keyword_match_financial_access,review_before_modeling
formal_fullservice_use,keyword_match_financial_access,review_before_modeling
mobile_money_access,keyword_match_financial_access,review_before_modeling
mobile_money_active,keyword_match_financial_access,review_before_modeling
noofloans,keyword_match_financial_access,review_before_modeling
noofloans_new,keyword_match_financial_access,review_before_modeling
currentloan,keyword_match_financial_access,review_before_modeling
defaultloan,keyword_match_financial_access,review_before_modeling
comp_noofloans,keyword_match_financial_access,review_before_modeling
formal_prudential_ever,keyword_match_financial_access,review_before_modeling
formal_non_prudential_ever,keyword_match_financial_access,review_before_modeling
formal_registered_ever,keyword_match_financial_access,review_before_modeling
formal_ever,keyword_match_financial_access,review_before_modeling
formal_other_ever,keyword_match_financial_access,review_before_modeling
informal_ever,keyword_match_financial_access,review_before_modeling
excludedpop_ever,keyword_match_financial_access,review_before_modeling
mobile_bank_usage1,keyword_match_financial_access,review_before_modeling
accessformal,keyword_match_financial_access,review_before_modeling
informal2,keyword_match_financial_access,review_before_modeling
credit_Inst,keyword_match_financial_access,review_before_modeling
On_time_borrowers,keyword_match_financial_access,review_before_modeling
Late_payer_borrowers,keyword_match_financial_access,review_before_modeling
Defaulted_borrowers,keyword_match_financial_access,review_before_modeling
combine_informal,keyword_match_financial_access,review_before_modeling
healthinsurance,keyword_match_financial_access,review_before_modeling
bank_transfer,keyword_match_financial_access,review_before_modeling
mobile_bank_account,keyword_match_financial_access,review_before_modeling
A_mobile_banking_account,keyword_match_financial_access,review_before_modeling
Credit_or_Debit_card,keyword_match_financial_access,review_before_modeling
Money_transfer_service,keyword_match_financial_access,review_before_modeling
International_mobile_transfer,keyword_match_financial_access,review_before_modeling
Borrowing_prevalence,keyword_match_financial_access,review_before_modeling
Borrowing_prevalence2,keyword_match_financial_access,review_before_modeling
Borrowing_prevalence3,keyword_match_financial_access,review_before_modeling
Borrowing_prevalence4,keyword_match_financial_access,review_before_modeling
Formal_digital_credit_only_users,keyword_match_financial_access,review_before_modeling
NotFormal_digital_credit_only_users,keyword_match_financial_access,review_before_modeling
Informal_only_credit_users,keyword_match_financial_access,review_before_modeling
non_Informal_only_credit_users,keyword_match_financial_access,review_before_modeling
Informal_only_credit_users2,keyword_match_financial_access,review_before_modeling
non_Informal_only_credit_users2,keyword_match_financial_access,review_before_modeling
Formal_non_digital_only,keyword_match_financial_access,review_before_modeling
NotFormal_non_digital_only,keyword_match_financial_access,review_before_modeling
all_loans,keyword_match_financial_access,review_before_modeling
Credit_exclusive_users,keyword_match_financial_access,review_before_modeling
Credit_exclusive_users2,keyword_match_financial_access,review_before_modeling
loan_Traditional,keyword_match_financial_access,review_before_modeling
informal_sector,keyword_match_financial_access,review_before_modeling
formal_new2022,keyword_match_financial_access,review_before_modeling
mobileonly_new2022,keyword_match_financial_access,review_before_modeling
excluded_informal_new2022,keyword_match_financial_access,review_before_modeling
allotherformal_banked2022,keyword_match_financial_access,review_before_modeling
formal_banked2022,keyword_match_financial_access,review_before_modeling
excluded_informal_banked2022,keyword_match_financial_access,review_before_modeling
NHIF_health_insurance,keyword_match_financial_access,review_before_modeling
Medical_Insurance_ONLY,keyword_match_financial_access,review_before_modeling
financially_excluded,keyword_match_financial_access,review_before_modeling
